1238,398
1236,398
1236,400
1234,402
1234,404
1234,408
1233,408
1232,408
1233,417
1232,412
1230,412
1231,414
1230,416
1230,418
1230,420
1230,422
1228,424
1228,426
1228,428
1228,430
1228,430
1230,434
1228,436
1228,438
1228,438
1228,440
1230,442
1236,444
1232,446
1233,450
1234,450
1234,454
1234,454
1234,458
1240,460
1236,462
1236,464
1236,466
1240,468
1238,470
1238,472
1238,474
1240,476
1240,478
1240,480
1238,483
1238,486
1238,488
1238,490
1238,492
1240,495
1238,498
1240,502
1240,503
1243,508
1242,510
1244,514
1244,516
1246,520
1246,522
1246,526
1246,530
1248,533
1248,536
1248,540
1250,544
1256,546
1252,550
1258,552
1260,556
1260,560
1256,564
1256,566
1262,570
1264,574
1262,578
1264,582
1264,586
1260,590
1266,594
1262,596
1266,600
1262,604
