x,y
548,814
550,814
556,814
559,816
564,816
567,816
574,818
577,818
582,820
585,820
590,822
594,824
596,826
600,826
602,828
607,830
612,832
616,834
620,834
624,836
628,836
634,836
640,836
646,838
650,838
654,840
660,840
666,840
670,842
676,842
682,844
688,844
694,844
698,846
704,846
710,846
716,848
720,848
726,850
732,850
736,850
742,852
748,852
752,852
759,854
764,854
770,854
774,854
780,856
786,856
794,856
798,856
802,856
808,856
812,856
818,856
824,856
830,856
834,856
840,858
846,858
852,858
857,858
862,858
868,858
874,858
880,858
886,858
892,858
898,858
904,856
910,856
916,854
922,854
928,852
934,852
940,850
946,850
951,848
956,846
962,846
968,846
973,844
978,844
984,842
990,842
996,842
1000,842
1006,840
1012,840
1017,838
1022,838
1028,836
1034,834
1040,832
1044,830
1050,828
1055,828
1060,826
1066,824
1070,822
1076,820
1082,820
1086,818
1092,816
1098,816
1104,814
1110,814
1116,814
1120,812
1126,810
1132,808
1136,808
1142,806
1146,804
1152,802
1156,802
1162,800
1166,800
1172,798
1178,798
1182,796
1188,796
1194,794
1200,794
1206,794
1210,792
1216,794
1220,792
1226,792
1231,790
1236,790
1242,788
1246,788
1252,784
1256,784
1262,782
1266,780
1270,780
1274,778
1278,776
1282,774
1286,772
1290,770
1294,768
1298,768
1302,766
1306,764
1312,762
1316,760
1320,760
1326,758
1330,756
1334,754
1340,754
1344,752
1348,752
1352,750
1356,750
1362,748
1366,746
1370,746
1376,744
1380,744
1384,742
1388,742
1394,740
1400,740
1404,738
1408,738
1414,738
1418,736
1422,736
1428,736
1432,736
1438,734
1444,734
1448,734
1452,734
1458,732
1462,732
1468,732
1472,732
1476,730
1482,730
1486,730
1492,730
1498,730
1502,730
1508,730
1512,730
1518,730
1522,730
1527,730
1532,730
1538,730
1542,732
1548,732
1553,732
1558,734
1564,736
1570,738
1575,740
1580,740
